name,code
AJ네트웍스,95570
AJ렌터카,68400
AK홀딩스,6840
BGF,27410
BGF리테일,282330
BNK금융지주,138930
BYC,1460
CJ,1040
CJ CGV,79160
CJ대한통운,120
CJ씨푸드,11150
CJ제일제당,97950
CJ헬로,37560
CS홀딩스,590
DB,12030
DB금융투자,16610
DB손해보험,5830
DB하이텍,990
DGB금융지주,139130
DRB동일,4840
DSR,155660
DSR제강,69730
E1,17940
F&F,7700
GKL,114090
GS,78930
GS건설,6360
GS글로벌,1250
GS리테일,7070
HDC,12630
HDC아이콘트롤스,39570
HDC현대EP,89470
HDC현대산업개발,294870
HSD엔진,82740
JB금융지주,175330
JW생명과학,234080
JW중외제약,1060
JW홀딩스,96760
KB금융,105560
KC그린홀딩스,9440
KC코트렐,119650
KEC,92220
KG케미칼,1390
KISCO홀딩스,1940
KPX케미칼,25000
KPX홀딩스,92230
KR모터스,40
KSS해운,44450
KTB투자증권,30210
KTcs,58850
KTis,58860
LF,93050
LG,3550
LG디스플레이,34220
LG상사,1120
LG생활건강,51900
LG유플러스,32640
LG이노텍,11070
LG전자,66570
LG하우시스,108670
LG화학,51910
LIG넥스원,79550
LS,6260
LS네트웍스,680
LS산전,10120
LS전선아시아,229640
MH에탄올,23150
NAVER,35420
NH투자증권,5940
NICE,34310
NI스틸,8260
OCI,10060
S&TC,100840
S&T모티브,64960
S&T중공업,3570
S&T홀딩스,36530
S-Oil,10950
SBS,34120
SBS미디어홀딩스,101060
SG세계물산,4060
SG충방,1380
SH에너지화학,2360
SIMPAC,9160
SK,34730
SKC,11790
SK가스,18670
SK네트웍스,1740
SK디스커버리,6120
SK디앤디,210980
SK이노베이션,96770
SK증권,1510
SK케미칼,285130
SK텔레콤,17670
SK하이닉스,660
SPC삼립,5610
STX,11810
STX엔진,77970
STX중공업,71970
TCC동양,2710
WISCOM,24070
YG PLUS,37270
가온전선,500
강남제비스코,860
강원랜드,35250
갤럭시아에스엠,11420
경농,2100
경동나비엔,9450
경동도시가스,267290
경동인베스트,12320
경방,50
경보제약,214390
경인양행,12610
경인전자,9140
계룡건설산업,13580
계양전기,12200
고려개발,4200
고려산업,2140
고려아연,10130
고려제강,2240
광동제약,9290
광명전기,17040
광전자,17900
광주신세계,37710
교보증권,30610
국도화학,7690
국동,5320
국보,1140
국제약품,2720
그린케미칼,83420
극동유화,14530
금강공업,14280
금비,8870
금양,1570
금호산업,2990
금호석유화학,11780
금호에이치티,214330
금호전기,1210
금호타이어,73240
기신정기,92440
기아자동차,270
기업은행,24110
까뮤이앤씨,13700
깨끗한나라,4540
나노메딕스,74610
남광토건,1260
남선알미늄,8350
남성,4270
남양유업,3920
남영비비안,2070
남해화학,25860
넥센,5720
넥센타이어,2350
넥스트사이언스,3580
넷마블,251270
노루페인트,90350
노루홀딩스,320
녹십자,6280
녹십자홀딩스,5250
농심,4370
농심홀딩스,72710
다스코,58730
다우기술,23590
대교,19680
대구백화점,6370
대덕전자,8060
대동공업,490
대동전자,8110
대림비앤코,5750
대림산업,210
대림씨엔에스,4440
대림통상,6570
대상,1680
대상홀딩스,84690
대성산업,128820
대성에너지,117580
대성홀딩스,16710
대신증권,3540
대양금속,9190
대영포장,14160
대우건설,47040
대우부품,9320
대우조선해양,42660
대웅,3090
대웅제약,69620
대원강업,430
대원전선,6340
대원제약,3220
대원화성,24890
대유에이텍,2880
대유플러스,300
대창,12800
대창단조,15230
대한방직,1070
대한유화,6650
대한전선,1440
대한제강,84010
대한제당,1790
대한제분,1130
대한항공,3490
대한해운,5880
대한화섬,3830
대현,16090
대호에이엘,69460
더블유게임즈,192080
더존비즈온,12510
덕성,4830
덕양산업,24900
덴티움,145720
도화엔지니어링,2150
동국실업,1620
동국제강,1230
동남합성,23450
동방,4140
동방아그로,7590
동부건설,5960
동부제철,16380
동북아12호선박투자,83370
동북아13호선박투자,83380
동서,26960
동성제약,2210
동성코퍼레이션,102260
동성화학,5190
동아쏘시오홀딩스,640
동아에스티,170900
동아지질,28100
동아타이어,282690
동양,1520
동양고속,84670
동양네트웍스,30790
동양물산기업,2900
동양생명,82640
동양철관,8970
동양피스톤,92780
동원F&B,49770
동원금속,18500
동원산업,6040
동원수산,30720
동원시스템즈,14820
동일고무벨트,163560
동일방직,1530
동일산업,4890
동일제강,2690
동화약품,20
두산,150
두산건설,11160
두산밥캣,241560
두산인프라코어,42670
두산중공업,34020
두올,16740
드림텍,192650
디씨엠,24090
디아이,3160
디아이씨,92200
디와이,13570
디와이파워,210540
디티알오토모티브,7340
디피씨,26890
락앤락,115390
롯데관광개발,32350
롯데손해보험,400
롯데쇼핑,23530
롯데정밀화학,4000
롯데정보통신,286940
롯데제과,280360
롯데지주,4990
롯데칠성음료,5300
롯데케미칼,11170
롯데푸드,2270
롯데하이마트,71840
마니커,27740
만도,204320
만호제강,1080
맥쿼리인프라,88980
맵스리얼티1,94800
메디파트너생명공학,15540
메리츠금융지주,138040
메리츠종금증권,8560
메리츠화재,60
메타랩스,90370
명문제약,17180
모나리자,12690
모나미,5360
모두투어리츠,204210
모토닉,9680
무림P&P,9580
무림페이퍼,9200
무학,33920
문배철강,8420
미래산업,25560
미래아이앤지,7120
미래에셋대우,6800
미래에셋생명,85620
미원상사,2840
미원에스씨,268280
미원홀딩스,107590
미원화학,134380
미창석유공업,3650
바다로19호,155900
방림,3610
백광산업,1340
백광소재,14580
백산,35150
범양건영,2410
베트남개발1,96300
벽산,7210
보락,2760
보령제약,3850
보해양조,890
부광약품,3000
부국증권,1270
부국철강,26940
부산도시가스,15350
부산산업,11390
부산주공,5030
비상교육,100220
비티원,101140
빙그레,5180
사조대림,3960
사조동아원,8040
사조산업,7160
사조씨푸드,14710
사조오양,6090
사조해표,79660
삼광글라스,5090
삼부토건,1470
삼성SDI,6400
삼성공조,6660
삼성물산,28260
삼성바이오로직스,207940
삼성생명,32830
삼성에스디에스,18260
삼성엔지니어링,28050
삼성전기,9150
삼성전자,5930
삼성제약,1360
삼성중공업,10140
삼성증권,16360
삼성출판사,68290
삼성카드,29780
삼성화재해상보험,810
삼아알미늄,6110
삼양사,145990
삼양식품,3230
삼양통상,2170
삼양패키징,272550
삼양홀딩스,70
삼영무역,2810
삼영전자공업,5680
삼영화학공업,3720
삼원강재,23000
삼익THK,4380
삼익악기,2450
삼일제약,520
삼정펄프,9770
삼진제약,5500
삼천리,4690
삼호,1880
삼호개발,10960
삼화왕관,4450
삼화전기,9470
삼화전자공업,11230
삼화콘덴서공업,1820
삼화페인트공업,390
상상인증권,1290
상신브레이크,41650
새론오토모티브,75180
샘표,7540
샘표식품,248170
서연,7860
서연이화,200880
서울도시가스,17390
서울식품공업,4410
서원,21050
서흥,8490
선도전기,7610
선진,136490
선창산업,2820
성문전자,14910
성보화학,3080
성신양회,4980
성안,11300
성창기업지주,180
세기상사,2420
세방,4360
세방전지,4490
세아베스틸,1430
세아제강,306200
세아제강지주,3030
세아특수강,19440
세아홀딩스,58650
세우글로벌,13000
세원셀론텍,91090
세원정공,21820
세이브존I&C,67830
세종공업,33530
세진중공업,75580
세하,27970
세화아이엠씨,145210
셀트리온,68270
송원산업,4430
수산중공업,17550
시디즈,134790
신대양제지,16590
신도리코,29530
신라교역,4970
신성이엔지,11930
신성통상,5390
신세계,4170
신세계I&C,35510
신세계건설,34300
신세계인터내셔날,31430
신세계푸드,31440
신송홀딩스,6880
신영와코루,5800
신영증권,1720
신원,9270
신일산업,2700
신풍제약,19170
신풍제지,2870
신한,5450
신한알파리츠,293940
신한지주,55550
신화실업,1770
신흥,4080
쌍방울,102280
쌍용양회공업,3410
쌍용자동차,3620
써니전자,4770
씨아이테크,4920
씨에스윈드,112610
아남전자,8700
아모레퍼시픽,90430
아모레퍼시픽그룹,2790
아세아,2030
아세아시멘트,183190
아세아제지,2310
아시아나IDT,267850
아시아나항공,20560
아이마켓코리아,122900
아이에스동서,10780
아이에이치큐,3560
아주캐피탈,33660
알루코,1780
알보젠코리아,2250
애경산업,18250
애경유화,161000
에넥스,11090
에스엘,5850
에스원,12750
에스제이엠,123700
에스제이엠홀딩스,25530
에쓰씨엔지니어링,23960
에어부산,298690
에이리츠,140910
에이블씨엔씨,78520
에이엔피,15260
에이프로젠 KIC,7460
에이프로젠제약,3060
엔씨소프트,36570
엔에스쇼핑,138250
엔에이치엔,181710
엔케이,85310
엔케이물산,9810
엔피씨,4250
엘브이엠씨,900140
영보화학,14440
영원무역,111770
영원무역홀딩스,9970
영진약품,3520
영풍,670
영풍제지,6740
영화금속,12280
영흥철강,12160
예스코홀딩스,15360
오뚜기,7310
오렌지라이프,79440
오리엔트바이오,2630
오리온,271560
오리온홀딩스,1800
용평리조트,70960
우리금융지주,316140
우리들제약,4720
우리들휴브레인,118000
우리종금,10050
우성사료,6980
우신시스템,17370
우진,105840
우진아이엔에스,10400
우진플라임,49800
웅진,16880
웅진씽크빅,95720
웅진에너지,103130
웅진코웨이,21240
원림,5820
웰바이오텍,10600
윌비스,8600
유나이티드,33270
유니드,14830
유니온,910
유니온머티리얼,47400
유니켐,11330
유니퀘스트,77500
유성기업,2920
유수홀딩스,700
유안타증권,3470
유양디앤유,11690
유엔젤,72130
유유제약,220
유진증권,1200
유한양행,100
유화증권,3460
율촌화학,8730
이건산업,8250
이구산업,25820
이노션,214320
이리츠코크렙,88260
이마트,139480
이수페타시스,7660
이수화학,5950
이스타코,15020
이아이디,93230
이연제약,102460
이월드,84680
이화산업,760
인디에프,14990
인스코비,6490
인지컨트롤스,23800
인천도시가스,34590
인터지스,129260
인팩,23810
일동제약,249420
일동홀딩스,230
일성건설,13360
일성신약,3120
일신방직,3200
일신석재,7110
일양약품,7570
일정실업,8500
일진다이아,81000
일진디스플,20760
일진머티리얼즈,20150
일진전기,103590
일진홀딩스,15860
잇츠한불,226320
자화전자,33240
전방,950
제이에스코퍼레이션,194370
제이준코스메틱,25620
제일기획,30000
제일약품,271980
제일연마,1560
제일파마홀딩스,2620
제주은행,6220
제주항공,89590
조광페인트,4910
조광피혁,4700
조비,1550
조선내화,480
조선선재,120030
조일알미늄,18470
조흥,2600
종근당,185750
종근당바이오,63160
종근당홀딩스,1630
주연테크,44380
지엠비코리아,13870
지역난방공사,71320
지코,10580
지투알,35000
진도,88790
진양산업,3780
진양폴리우레탄,10640
진양홀딩스,100250
진양화학,51630
진에어,272450
진원생명과학,11000
진흥기업,2780
참엔지니어링,9310
천일고속,650
청호컴넷,12600
체시스,33250
카카오,35720
카프로,6380
컨버즈,109070
케이씨,29460
케이씨씨,2380
케이씨텍,281820
케이씨티시,9070
케이탑리츠,145270
케이티,30200
케이티스카이라이프,53210
케이티앤지,33780
코리아써키트,7810
코리아오토글라스,152330
코리안리,3690
코스맥스,192820
코스맥스비티아이,44820
코스모신소재,5070
코스모화학,5420
코아스,71950
코오롱,2020
코오롱글로벌,3070
코오롱머티리얼,144620
코오롱인더,120110
코오롱플라스틱,138490
콤텍시스템,31820
쿠쿠홀딩스,192400
쿠쿠홈시스,284740
큐로,15590
크라운제과,264900
크라운해태홀딩스,5740
키다리스튜디오,20120
키움증권,39490
키위미디어그룹,12170
태경산업,15890
태경화학,6890
태광산업,3240
태림포장,11280
태양금속공업,4100
태영건설,9410
태원물산,1420
태평양물산,7980
테이팩스,55490
텔코웨어,78000
토니모리,214420
트러스제7호,140890
티비에이치글로벌,84870
티에이치엔,19180
티웨이항공,91810
티웨이홀딩스,4870
파미셀,5690
팜스코,36580
팬오션,28670
퍼스텍,10820
퍼시스,16800
페이퍼코리아,1020
평화산업,90080
평화홀딩스,10770
포스코,5490
포스코강판,58430
포스코인터내셔널,47050
폴루스바이오팜,7630
풀무원,17810
풍산,103140
풍산홀딩스,5810
필룩스,33180
하나금융지주,86790
하나니켈1호,99340
하나니켈2호,99350
하나제약,293480
하나투어,39130
하이골드12호,172580
하이골드3호,153360
하이골드8호,159650
하이스틸,71090
하이트론씨스템즈,19490
하이트진로,80
하이트진로홀딩스,140
한국ANKOR유전,152550
한국가스공사,36460
한국공항,5430
한국금융지주,71050
한국내화,10040
한국단자공업,25540
한국석유공업,4090
한국수출포장공업,2200
한국쉘석유,2960
한국자산신탁,123890
한국전력공사,15760
한국전자홀딩스,6200
한국제지,2300
한국종합기술,23350
한국주강,25890
한국주철관공업,970
한국철강,104700
한국카본,17960
한국콜마,161890
한국콜마홀딩스,24720
한국타이어,161390
한국타이어월드와이드,240
한국토지신탁,34830
한국특수형강,7280
한국패러랠,168490
한국프랜지공업,10100
한국항공우주,47810
한국화장품,123690
한국화장품제조,3350
한농화성,11500
한독,2390
한라,14790
한라홀딩스,60980
한미글로벌,53690
한미반도체,42700
한미사이언스,8930
한미약품,128940
한샘,9240
한섬,20000
한성기업,3680
한세실업,105630
한세엠케이,69640
한세예스24홀딩스,16450
한솔로지스틱스,9180
한솔제지,213500
한솔케미칼,14680
한솔테크닉스,4710
한솔피엔에스,10420
한솔홀딩스,4150
한솔홈데코,25750
한신공영,4960
한신기계공업,11700
한양증권,1750
한온시스템,18880
한올바이오파마,9420
한익스프레스,14130
한일시멘트,300720
한일철강,2220
한일현대시멘트,6390
한일홀딩스,3300
한전KPS,51600
한전기술,52690
한전산업,130660
한진,2320
한진중공업,97230
한진중공업홀딩스,3480
한진칼,180640
한창,5110
한창제지,9460
한화,880
한화갤러리아타임월드,27390
한화생명,88350
한화손해보험,370
한화에어로스페이스,12450
한화케미칼,9830
한화투자증권,3530
해성디에스,195870
해태제과식품,101530
핸즈코퍼레이션,143210
현대건설,720
현대건설기계,267270
현대그린푸드,5440
현대글로비스,86280
현대로템,64350
현대리바트,79430
현대모비스,12330
현대미포조선,10620
현대백화점,69960
현대비앤지스틸,4560
현대상선,11200
현대약품,4310
현대에이치씨엔,126560
현대엘리베이터,17800
현대오토에버,307950
현대위아,11210
현대일렉트릭,267260
현대자동차,5380
현대제철,4020
현대종합상사,11760
현대중공업,9540
현대중공업지주,267250
현대차증권,1500
현대코퍼레이션홀딩스,227840
현대해상,1450
현대홈쇼핑,57050
형지엘리트,93240
혜인,3010
호전실업,111110
호텔신라,8770
화성산업,2460
화승알앤에이,13520
화승엔터프라이즈,241590
화승인더스트리,6060
화신,10690
화인베스틸,133820
화천기계,10660
화천기공,850
환인제약,16580
황금에스티,32560
효성,4800
효성 ITX,94280
효성중공업,298040
효성첨단소재,298050
효성티앤씨,298020
효성화학,298000
후성,93370
휠라코리아,81660
휴니드테크놀러지스,5870
휴비스,79980
휴스틸,5010
